Yes_No,Type,Proficiency_Level,Career_Progression_Timing,Task_Level,Status_of_Training,Type_of_Training,Objects,Knowledge,Skills,Abilities,Tools_Equipment,Resources,Locations,Safety_Hazard_Severity,Criticality_of_Performance,Task_Delay_Tolerance,Frequency_of_Performance,Probability_of_Inadequate_Performance_Due_to_Training,Difficulty_of_Performance,Task_Learning_Difficulty,Percent_Performing_across_Rating,Percentage_of_Time_Spent_on_Performance_within_the_job,Immediacy_of_Performance,Final_Train_No_Train_Decision
,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Occupation,SPL1,Y2Q1,1 - Organizational,1 - Currently Being Trained,Formal,ALL NAVAL AIRCRAFT,Administration and Management,Active Learning ,Finger Dexterity,Calculator,All Weapons Information System (AWIS),,1 - Minor,1 - Minor,1 - Low delay tolerance,1 - At least annually,1 - Never performed correctly,1 - No training required,1 - No training is required,1 - 0 to 24% of the personnel perform this task,1 - Task is not performed,1 - Task first performed within 2 to 4 years after assignment,Train
No,Job,SPL2,Y2Q2,2 - Intermediate,2 - Not Being Trained,PQS,CVN,Applicable Publications,Averages ,Flexibility,Common Hand Tools,Applicable ARM/DEARM Checklist,Afloat,2 - Marginal,2 - Marginal,2 - High delay tolerance,2 - At least once every 6 months,2 - Less often than other tasks,2 - Task requires 1 to 3 days to learn,2 - Task requires 1 to 3 days to learn,2 - 25 to 49% of the personnel perform this task,2 - Less time spent on this task than most other tasks,2 - Task first performed within 1 to 2 years after assignment,OJT
,Duty,SPL3,Y2Q3,3 - Depot,3 - Not fully supported through current training,JQR,Platform: AIMD,"Applicable Technical Manuals, Publications, Instructions, SOPs",Brevity,Flexibility of Closure,Ladders,Applicable Maintenance Technical Manuals and Directives,Aircraft,3 - Critical,3 - Critical,,"3 - At least monthly, but less than twice per week",3 - About as often as other tasks,3 - Task may be learned in 1 to 2 weeks,3 - Task may be learned in 1 to 2 weeks,3 - 50 to 74% of the personnel perform this task,3 - Same amount of time spent on this task as most others,3 - Task first performed within 6 months after assignment,Performance support
,Task,,Y2Q4,4 - N/A,,RTM,Platform: All CVN Classes,Basic Symbology,Complex Problem Solving,Fluency of Ideas,Multimeter,Applicable MIPs,Ashore,4 - Catastrophic,4 - Catastrophic,,4 - Twice per week or more,4 - More often than other tasks,4 - Task may require up to 1 month or more to learn,4 - Task may require up to 1 month or more to learn,4 - 75 to 100% of the personnel perform this task,4 - More time spent on this task than most others,4 - Task performed during first 3 months after assignment,No Train
,Subtask,,Y3Q1,,,OJT,Platform: ALL NAVAL AIRCRAFT,Calculator operations,Conversion,Gross Body Coordination,None Required,"Applicable PQS, SOP, JQR",CATCC,,,,,,,,,,,
,Step,,Y3Q2,,,Other,Platform: Ashore,Characteristics and Capabilities,Coordination,Hearing Sensitivity,Personal Protective Equipment (PPE),Applicable publications and documentation,CIC,,,,,,,,,,,
,,,Y3Q3,,,,Platform: E/A-18G Growler,Chemistry,Critical Thinking,Inductive Reasoning,Special Tools,Applicable ship PQS,Flight Deck,,,,,,,,,,,
,,,Y3Q4,,,,Platform: EA-6B,Clerical,Deductive Reasoning,Information Ordering,Test Equipment,applicable SOP(s),Galley,,,,,,,,,,,
,,,Y4Q1,,,,Platform: F/A-18A-D Hornet,Computers,Dexterity,Manual Dexterity,Two-Way Radios,Applicable T/M/S Maintenance Instruction Manuals and Publications,Online,,,,,,,,,,,
